BUILD_CODE,WORK_TYPE,ID,START,END,COST
2.2,SIP Перекрытие 1-го этажа,2967980,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2967981,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2967982,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2967983,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2967984,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2967987,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2968284,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2968285,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2968286,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2968287,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2968288,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2968304,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2968305,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2968306,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2968307,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2968308,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2968314,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2968315,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2968316,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2968317,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2968318,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2968403,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2968406,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2968410,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2968426,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2968429,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2968433,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2968435,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2968438,05.07.2025,05.08.2025,100
